boot_id,seed_size,seeds,bifo_p10,bifo_enrich10,bifo_ndcg10,bifo_ap,bifo_mean_rank,rank_improvement,sf_p10,sf_ap,bifo_beats_sf_ap
112,10,"C1417867,C1413266,C2680470,C1422332,C1823263,C0812290,C0376571,C1413053,C1442771,C1823843",0.0,0.0,0.0,0.0033594166354300138,2891.05,-1103.2500000000002,0.0,0.004324471504996897,0
113,10,"C1421350,C1824636,C1425837,C1422830,C1425962,C1423632,C1412760,C1416777,C1421525,C1825500",0.0,0.0,0.0,0.004317273274726417,2559.0,-1018.1500000000001,0.0,0.004223606700294591,1
114,10,"C1367702,C1421866,C1333358,C1539607,C1415629,C1414899,C1418641,C1708000,C1412546,C1540200",0.0,0.0,0.0,0.00366365192182221,2745.75,-965.0,0.0,0.004179363114929019,0
115,10,"C1428257,C1421170,C1419337,C1412284,C1415543,C1442758,C1333358,C1425658,C1823369,C1826967",0.0,0.0,0.0,0.036530260522922145,1311.25,-95.54999999999995,0.3,0.1685826947610193,0
116,10,"C1333357,C1414479,C1825897,C3470206,C1416958,C1540200,C1421866,C1414038,C1417508,C1426771",0.0,0.0,0.0,0.025560512238331456,1223.8,-42.450000000000045,0.1,0.029131836428967356,0
117,10,"C1417928,C1426758,C1538045,C1420552,C1421995,C1422577,C1414895,C1420688,C1417671,C1418948",0.0,0.0,0.0,0.0050671289802127414,2343.4,-741.0500000000002,0.0,0.007746680096949824,0
118,10,"C2681556,C1413014,C1419385,C1417052,C1824395,C1412367,C1826473,C1421972,C1421583,C1426228",0.0,0.0,0.0,0.04372578984616895,1202.4,-28.700000000000045,0.2,0.09627000720555481,0
119,10,"C1537694,C1426011,C1420614,C1425219,C1415090,C1420385,C1419288,C1417504,C1422805,C1415180",0.0,0.0,0.0,0.013092408912116193,1516.25,154.95000000000005,0.0,0.01030397939676697,1
608,20,"C3470230,C1824106,C1428402,C1416383,C1415460,C2681197,C1421972,C1335270,C1427484,C1415186,C1413200,C1428485,C1416799,C1823497,C1826596,C1415311,C1418891,C1420588,C1426077,C1421350",0.1,22.755000000000003,0.08514311764162098,0.025566052420425256,1374.75,-55.700000000000045,0.1,0.015423708088707041,1
609,20,"C1333523,C1825631,C1537395,C1420745,C1412364,C1414103,C1428130,C1334469,C1428833,C1414946,C1422674,C1427953,C1334895,C1420250,C1428810,C1426132,C1428025,C1413564,C1539341,C1333690",0.0,0.0,0.0,0.0035454187565524763,2822.7,-1374.9999999999998,0.0,0.00393103727034891,0
610,20,"C1415079,C1540111,C1416377,C1708000,C1422045,C1416930,C1826414,C1822764,C1424839,C1414128,C1333225,C1416681,C1336644,C0537026,C1427791,C1427995,C1822763,C1825092,C1416886,C1332121",0.0,0.0,0.0,0.034942858003611105,1045.5,23.200000000000045,0.0,0.01749736028347781,1
611,20,"C1413200,C2681644,C1412401,C1823272,C1419868,C1420745,C1416825,C1413146,C1708000,C1823533,C1824719,C1418466,C1427879,C1825557,C0919481,C1428833,C1424736,C1428810,C1415144,C1538644",0.0,0.0,0.0,0.008359850359238068,1729.8,-299.5,0.0,0.007023139917283811,1
612,20,"C1824336,C1425407,C1413569,C1422171,C1419596,C1334481,C1420354,C1414899,C1424915,C1333217,C1826711,C1417566,C1425267,C1418819,C1428367,C1419805,C1412760,C3469826,C1824492,C1416430",0.1,22.755000000000003,0.06362078819895171,0.012866485903858613,1885.15,-619.8000000000002,0.1,0.012379134929775616,1
613,20,"C1412262,C1413688,C1424069,C1824135,C1825633,C1539367,C1335270,C1415994,C1418609,C2240169,C1412390,C1416920,C1426039,C1413014,C1826842,C0694889,C1421146,C1425071,C1825047,C1333569",0.0,0.0,0.0,0.011765888357359295,1568.3,-352.75,0.0,0.008695229743301445,1
614,20,"C1333356,C1415119,C1412387,C1423837,C1422626,C1422045,C1538097,C1415512,C1427728,C1412070,C1538319,C1425658,C1414558,C1420450,C1413064,C1427027,C2240360,C1417566,C1417217,C1412279",0.0,0.0,0.0,0.012137404902489605,1778.7,-262.45000000000005,0.0,0.009543454569968716,1
