rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
1525	WP_BMP_SIGNALING_PATHWAY_IN_EYELID_DEVELOPMENT	MSIGDB:M39624	MSIGDB	20	8.471970e-09	True	-3.215	1.0000	-0.497	0.8649	False	FGFR2;EGFR	0.8575;0.8545	NOTCH1		local:n=20;max=2.35;p75=0.33;p50=-0.19;p25=-0.75	global:n=20;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1526	REACTOME_GAP_JUNCTION_ASSEMBLY	MSIGDB:M14981	MSIGDB	36	8.470926e-09	True	-4.288	1.0000	-0.599	0.9127	False	GJB4;GJB3;TUBA4A;GJC2	0.8123;0.0000;0.0000;0.0000	TUBB4A		local:n=36;max=2.21;p75=-0.53;p50=-0.53;p25=-0.53	global:n=36;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1527	REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT	MSIGDB:M27805	MSIGDB	29	8.434496e-09	True	-3.805	1.0000	-0.589	0.8888	False	RB1;SMAD6;GLI3;MAF;IHH	0.3815;0.3721;0.1492;0.1069;0.0875	ABL1		local:n=29;max=2.77;p75=0.47;p50=-0.53;p25=-0.72	global:n=29;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1528	BIOCARTA_PRION_PATHWAY	MSIGDB:M22020	MSIGDB	12	8.422596e-09	True	-2.416	1.0000	-0.287	0.8712	False	LAMA1	0.0000	BCL2		local:n=12;max=2.64;p75=0.68;p50=-0.57;p25=-0.79	global:n=12;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1529	WP_PDGFRBETA_PATHWAY	MSIGDB:M39616	MSIGDB	29	8.398592e-09	True	-3.830	1.0000	-0.786	0.8934	False	JAK2;MAP2K1;EIF2AK2;STAT1	0.2009;0.0890;0.0480;0.0159	PIK3CA		local:n=29;max=4.95;p75=0.09;p50=-0.24;p25=-0.44	global:n=29;max=-0.03;p75=-0.04;p50=-0.04;p25=-0.04
1530	REACTOME_RHO_GTPASES_ACTIVATE_PAKS	MSIGDB:M27494	MSIGDB	21	8.378540e-09	True	-3.346	1.0000	-0.438	0.8649	False	MYH11;MYH10;MYH14	0.8728;0.0000;0.0000	RAC1		local:n=21;max=2.35;p75=0.28;p50=-0.52;p25=-0.84	global:n=21;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1531	WP_EFFECTS_OF_NITRIC_OXIDE	MSIGDB:M39677	MSIGDB	8	8.347939e-09	True	-2.061	1.0000	-0.139	0.8649	False	XDH	0.3590	NOS3		local:n=8;max=2.13;p75=0.26;p50=-0.46;p25=-0.51	global:n=8;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1532	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	MSIGDB:M496	MSIGDB	27	8.344608e-09	True	-3.836	1.0000	-0.544	0.9517	False	ERCC2;ERCC3;TBP;POLR1C;POLR1B	0.1675;0.1294;0.0262;0.0000;0.0000	CCNH		local:n=27;max=4.79;p75=0.11;p50=-0.39;p25=-0.44	global:n=27;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1533	REACTOME_DEREGULATED_CDK5_TRIGGERS_MULTIPLE_NEURODEGENERATIVE_PATHWAYS_IN_ALZHEIMER_S_DISEASE_MODELS	MSIGDB:M41722	MSIGDB	22	8.341679e-09	True	-3.173	1.0000	-0.439	0.8712	False	PRDX1	0.0000	APP		local:n=22;max=3.70;p75=0.37;p50=0.04;p25=-0.85	global:n=22;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1534	keratinocyte differentiation	C1159909	GO	13	8.340250e-09	True	-2.741	1.0000	-0.217	0.8649	False	ABCA12;CSTA	1.0000;0.0028			local:n=14;max=1.84;p75=0.50;p50=-0.52;p25=-0.77	global:n=14;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1535	REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	MSIGDB:M1825	MSIGDB	10	8.325528e-09	True	-2.116	1.0000	-0.307	0.8649	False	PLCB3	0.5662			local:n=10;max=1.93;p75=0.71;p50=0.05;p25=-1.05	global:n=10;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1536	BIOCARTA_PDGF_PATHWAY	MSIGDB:M2529	MSIGDB	27	8.325144e-09	True	-3.434	1.0000	-0.780	0.8885	False	MAP2K1;STAT1	0.0890;0.0159	PIK3CA		local:n=27;max=4.82;p75=0.08;p50=-0.23;p25=-0.41	global:n=27;max=-0.03;p75=-0.04;p50=-0.04;p25=-0.04
1537	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION	MSIGDB:M1095	MSIGDB	43	8.305784e-09	True	-4.761	1.0000	-0.608	1.0000	False	ERCC2;ERCC3;ERCC6;TBP;POLR1C;POLR1B;MTA3	0.1675;0.1294;0.1033;0.0262;0.0000;0.0000;0.0000	CCNH		local:n=43;max=6.02;p75=0.20;p50=-0.35;p25=-0.42	global:n=43;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1538	REACTOME_RAF_ACTIVATION	MSIGDB:M27556	MSIGDB	31	8.303301e-09	True	-3.780	1.0000	-0.711	0.9833	False	JAK2;MAP2K1	0.9946;0.4854	SRC;JAK2		local:n=31;max=2.59;p75=0.43;p50=-0.46;p25=-0.49	global:n=31;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1539	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	MSIGDB:M27691	MSIGDB	29	8.302945e-09	True	-4.090	1.0000	-0.532	0.9449	False	ERCC2;ERCC3;TBP;POLR1C;POLR1B	0.1675;0.1294;0.0262;0.0000;0.0000	CCNH		local:n=29;max=4.90;p75=0.10;p50=-0.40;p25=-0.46	global:n=29;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1540	Lung Development	C1160389	GO	8	8.290296e-09	True	-2.465	1.0000	-0.273	0.8885	False	ABCA3;SFTPB;SFTPC	0.6311;0.0000;0.0000	CLCN2		local:n=9;max=2.33;p75=-0.20;p50=-0.57;p25=-0.57	global:n=9;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1541	REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	MSIGDB:M27573	MSIGDB	10	8.287100e-09	True	-2.498	1.0000	-0.266	0.8649	False	ABCA3;SFTPB;SFTPC	0.6427;0.0046;0.0046	SLC34A2		local:n=10;max=2.01;p75=0.90;p50=-0.77;p25=-0.77	global:n=10;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1542	REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR	MSIGDB:M27251	MSIGDB	55	8.265947e-09	True	-4.896	1.0000	-0.740	1.0000	False	CAPZA2;TUBA4A	0.0000;0.0000	DYNC1H1;TUBB4A;TUBA3C;TUBB3;TUBA1B;AR;PGR		local:n=55;max=3.11;p75=-0.29;p50=-0.51;p25=-0.51	global:n=55;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1543	REACTOME_BICARBONATE_TRANSPORTERS	MSIGDB:M27335	MSIGDB	10	8.264253e-09	True	-2.165	1.0000	-0.163	0.8649	False	SLC4A1	1.0000	SLC4A1		local:n=10;max=2.21;p75=0.21;p50=-0.60;p25=-0.60	global:n=10;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1544	Positive Regulation of Cell Differentiation	C1516343	GO	15	8.260309e-09	True	-3.044	1.0000	-0.303	0.9122	False	MMP9;DLX5;ZNF750;PROM1	0.1977;0.1974;0.1147;0.0112	WNT5B		local:n=15;max=2.77;p75=0.39;p50=-0.29;p25=-0.67	global:n=15;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1545	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	MSIGDB:M29813	MSIGDB	101	8.257364e-09	True	-6.418	1.0000	-0.464	1.0000	False	RPS24;RPL10L	0.0002;0.0000	ATF4		local:n=101;max=9.97;p75=-0.12;p50=-0.12;p25=-0.12	global:n=101;max=-0.02;p75=-0.04;p50=-0.04;p25=-0.04
1546	BIOCARTA_PCAF_PATHWAY	MSIGDB:M22007	MSIGDB	12	8.251765e-09	True	-2.341	1.0000	-0.466	0.8649	False	CREBBP	0.0003	NFKB1		local:n=12;max=3.31;p75=-0.28;p50=-0.32;p25=-0.34	global:n=12;max=-0.02;p75=-0.04;p50=-0.04;p25=-0.04
1547	REACTOME_AGGREPHAGY	MSIGDB:M29830	MSIGDB	43	8.240871e-09	True	-4.567	1.0000	-0.724	1.0000	False	CFTR;PRKN;TUBA4A;ARL13B;PCNT	0.4509;0.0038;0.0000;0.0000;0.0000	DYNC1H1;TUBB4A;TUBA3C;TUBB3;TUBA1B		local:n=43;max=2.98;p75=-0.24;p50=-0.53;p25=-0.53	global:n=43;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1548	REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	MSIGDB:M29535	MSIGDB	26	8.229043e-09	True	-3.821	1.0000	-0.699	0.8870	False	ERBB3;EGFR;ERBB4;GAB1;PTPN12	0.2632;0.2559;0.2424;0.0898;0.0735	PIK3CA		local:n=26;max=4.61;p75=-0.20;p50=-0.29;p25=-0.41	global:n=26;max=-0.03;p75=-0.04;p50=-0.04;p25=-0.04
1549	WP_TYPE_III_INTERFERON_SIGNALING	MSIGDB:M39464	MSIGDB	9	8.226648e-09	True	-1.966	1.0000	-0.214	0.8649	False	STAT1	0.0719	TYK2		local:n=9;max=2.52;p75=0.01;p50=-0.44;p25=-0.60	global:n=9;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1550	Telomere Maintenance	C1155299	GO	37	8.216271e-09	True	-4.741	1.0000	-0.565	1.0000	False	NBN;RAD50;RAD51D;PARN;CTC1;WRAP53	1.0000;0.8259;0.1945;0.0588;0.0551;0.0019	NBN;RAD50		local:n=40;max=4.08;p75=0.25;p50=-0.40;p25=-0.67	global:n=40;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1551	REACTOME_EXTENSION_OF_TELOMERES	MSIGDB:M14804	MSIGDB	50	8.172299e-09	True	-4.958	1.0000	-0.675	1.0000	False	RTEL1;BLM;CTC1;WRAP53;RUVBL2;SHQ1	0.0667;0.0657;0.0187;0.0009;0.0000;0.0000	CCNA1;CCNA2		local:n=50;max=4.61;p75=-0.01;p50=-0.38;p25=-0.42	global:n=50;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1552	REACTOME_SODIUM_PROTON_EXCHANGERS	MSIGDB:M27337	MSIGDB	9	8.164281e-09	True	-2.087	1.0000	-0.159	0.8649	False	SLC9A9	0.8913			local:n=9;max=1.58;p75=1.33;p50=-0.71;p25=-0.71	global:n=9;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1553	WP_THE_HUMAN_IMMUNE_RESPONSE_TO_TUBERCULOSIS	MSIGDB:M39748	MSIGDB	23	8.160010e-09	True	-3.578	1.0000	-0.589	0.8870	False	JAK2;IFNAR1;IFNAR2;TAP1;STAT1	0.4692;0.4660;0.4659;0.1691;0.0719	TYK2		local:n=23;max=3.51;p75=0.06;p50=-0.39;p25=-0.60	global:n=23;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1554	BIOCARTA_TEL_PATHWAY	MSIGDB:M10401	MSIGDB	17	8.158933e-09	True	-2.964	1.0000	-0.473	0.8649	False	EGFR;RB1	0.1222;0.0522	AKT1		local:n=17;max=3.92;p75=-0.09;p50=-0.29;p25=-0.40	global:n=17;max=-0.02;p75=-0.04;p50=-0.04;p25=-0.04
1555	WP_NANOMATERIAL_INDUCED_APOPTOSIS	MSIGDB:M39479	MSIGDB	18	8.156957e-09	True	-3.011	1.0000	-0.545	0.8870	False	DIABLO;PRF1	0.2613;0.1607	BCL2		local:n=18;max=3.57;p75=-0.15;p50=-0.22;p25=-0.23	global:n=18;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1556	REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	MSIGDB:M27672	MSIGDB	64	8.152821e-09	True	-5.541	1.0000	-1.256	1.0000	False	ATM;CDKN2A;CHEK2;PSMB10	0.2670;0.1716;0.1080;0.0501	CCNA1;CCNE1;CCNA2;CCNE2		local:n=64;max=3.71;p75=-0.06;p50=-0.43;p25=-0.43	global:n=64;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1557	WP_MAPK_PATHWAY_IN_CONGENITAL_THYROID_CANCER	MSIGDB:M39882	MSIGDB	15	8.135781e-09	True	-2.636	1.0000	-0.542	0.8723	False	MAP2K1	0.4007	ALK		local:n=15;max=2.59;p75=0.31;p50=-0.12;p25=-0.55	global:n=15;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1558	REACTOME_RHOBTB_GTPASE_CYCLE	MSIGDB:M41738	MSIGDB	35	8.135287e-09	True	-4.184	1.0000	-0.494	0.9571	False	CUL3;CCT7	0.0006;0.0000	ACTG1		local:n=35;max=5.18;p75=-0.06;p50=-0.41;p25=-0.41	global:n=35;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1559	REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	MSIGDB:M1877	MSIGDB	56	8.125773e-09	True	-4.928	1.0000	-0.324	1.0000	False	SORT1	0.6088	TFRC;IGF2R;SORT1;OCRL		local:n=56;max=4.51;p75=-0.02;p50=-0.47;p25=-0.47	global:n=56;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1560	WP_SIMPLIFIED_INTERACTION_MAP_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY	MSIGDB:M39586	MSIGDB	19	8.118820e-09	True	-3.016	1.0000	-0.418	0.8649	False	FN1	1.0000	FN1		local:n=19;max=2.53;p75=0.29;p50=-0.43;p25=-0.82	global:n=19;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1561	REACTOME_INTRA_GOLGI_TRAFFIC	MSIGDB:M27652	MSIGDB	43	8.113042e-09	True	-4.721	1.0000	-0.371	1.0000	False	VPS45;TRIP11;GOSR2;RIC1;COG6	0.4072;0.3241;0.0000;0.0000;0.0000	NAPB;MAN2A1;MAN2A2;ARF1		local:n=43;max=3.02;p75=0.01;p50=-0.51;p25=-0.51	global:n=43;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1562	REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	MSIGDB:M9450	MSIGDB	15	8.104423e-09	True	-3.022	1.0000	-0.417	0.8649	False	ITGB1;ITGA2;GP1BA;VWF	0.6155;0.6057;0.1759;0.0000	FYN		local:n=15;max=2.00;p75=0.78;p50=-0.55;p25=-0.66	global:n=15;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
1563	REACTOME_ENOS_ACTIVATION	MSIGDB:M27111	MSIGDB	10	8.098332e-09	True	-2.134	1.0000	-0.416	0.8649	False	SPR	0.0000	AKT1		local:n=10;max=2.98;p75=-0.17;p50=-0.40;p25=-0.42	global:n=10;max=-0.02;p75=-0.04;p50=-0.04;p25=-0.04
1564	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	MSIGDB:M595	MSIGDB	78	8.098230e-09	True	-5.882	1.0000	-1.270	1.0000	False	PSMB10	0.0123	NFKB1		local:n=78;max=8.70;p75=-0.06;p50=-0.14;p25=-0.21	global:n=78;max=-0.02;p75=-0.04;p50=-0.04;p25=-0.04
1565	REACTOME_MRNA_CAPPING	MSIGDB:M745	MSIGDB	29	8.088446e-09	True	-3.680	1.0000	-0.506	1.0000	False	ERCC2;ERCC3;POLR2B	0.1675;0.1294;0.0000	CCNH		local:n=29;max=4.96;p75=0.14;p50=-0.43;p25=-0.43	global:n=29;max=-0.04;p75=-0.04;p50=-0.04;p25=-0.04
