concept_id,name,sab,direct,member_mean,member_max,degree_norm,local_bg,direct_raw,raw_vs_cond_delta,member_gene_count,degree,degree_flag,in_chd_set,contributing_seeds,empirical_p,empirical_q,null_mean,null_sd,null_z,member_mean_p,member_mean_q,member_mean_null_mean,member_mean_null_sd,member_mean_null_z
MSIGDB:M823,REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,MSIGDB,3.1830035388546353e-05,9.794544166076819e-05,0.0005079477048495054,3.106293385763678e-06,-8.311959324375012e-05,1.9013213572083147e-05,1.2816821816463206e-05,105,105,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,8.412253827299332e-06,2.3178303989948076e-06,-2.289192705314734,0.01898101898101898,1.0,8.343566922480455e-05,7.829326249181808e-06,1.8532593960406187
MSIGDB:M39480,WP_BLOOD_CLOTTING_CASCADE,MSIGDB,1.4895974772899419e-05,0.00017996084322351622,0.0005111224246166279,3.1060254515800898e-06,1.4895974772899419e-05,3.4912393036149862e-06,1.1404735469284434e-05,23,23,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.000999000999000999,0.0012447607488929803,0.0,0.0,0.0,0.9090909090909091,1.0,0.00024101745756235026,4.0104599047718475e-05,-1.5224342292061268
MSIGDB:M5988,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,MSIGDB,4.8555017302835046e-05,6.33286144358299e-05,0.0005092969472649156,3.0957548334675084e-06,-2.6052876367278165e-05,4.622568793264494e-05,2.3293293701901092e-06,246,246,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.41427591914253e-05,2.5993570834663436e-06,-4.249898726198165,0.04995004995004995,1.0,5.557327265586828e-05,5.062005434396537e-06,1.5320690347868349
MSIGDB:M14766,REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,MSIGDB,1.4772841051245965e-05,0.00022331992117577404,0.0005111224246166279,3.080350295758853e-06,1.4772841051245965e-05,4.074189678993495e-06,1.069865137225247e-05,23,23,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.000999000999000999,0.0012447607488929803,0.0,0.0,0.0,0.4855144855144855,1.0,0.00022925748586365946,3.431941934780005e-05,-0.173008891196932
MSIGDB:M27183,REACTOME_THE_PHOTOTRANSDUCTION_CASCADE,MSIGDB,1.74930129985745e-05,0.00017068251072959318,0.0005089270700654006,3.0451426983944022e-06,-0.00015275122374933613,5.675612755449841e-06,1.181740024312466e-05,33,33,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.8601398601398601,1.0,5.057065490055399e-06,2.12736448683567e-06,-0.9457348771735933,0.46153846153846156,1.0,0.00017569622013672377,2.0116630881971215e-05,-0.24923206259274455
MSIGDB:M41822,REACTOME_SENSORY_PROCESSING_OF_SOUND,MSIGDB,2.5819641661498523e-05,0.00011914385104243236,0.0005086036926613825,3.021960480254794e-06,-8.577183120944912e-05,1.904734154369362e-05,6.772300117804905e-06,73,73,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,7.5918327018813325e-06,2.4735614010334476e-06,-1.8474868744787405,0.23176823176823177,1.0,0.00010684555315432567,1.2805518679580956e-05,0.9603904531971004
MSIGDB:M27472,REACTOME_CILIUM_ASSEMBLY,MSIGDB,4.180838554169638e-05,9.830546698056011e-05,0.0005087707331996704,3.0016671498296795e-06,-6.461315698048918e-05,2.959254612036269e-05,1.2215839421333686e-05,194,194,False,True,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.0383289906845204e-05,2.2201974098232645e-06,-3.324759647207735,0.6983016983016983,1.0,0.00010148126871043988,7.953122968435727e-06,-0.3993150542854502
MSIGDB:M41823,REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA,MSIGDB,2.1366002469964746e-05,0.0001402152349215083,0.0005086036926613825,2.99183877339849e-06,-0.00010803176404840195,1.467185582368575e-05,6.694146646278995e-06,51,51,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.996003996003996,1.0,5.9971507076642356e-06,2.20196025176335e-06,-1.3648347793104185,0.36363636363636365,1.0,0.00013147194874454612,1.7760267414446363e-05,0.4922947370629299
MSIGDB:M39570,WP_AMINO_ACID_METABOLISM,MSIGDB,2.7356034212482494e-05,0.0001528195339854438,0.0005104859717340493,2.9847880355357785e-06,2.7356034212482494e-05,1.4045772708092585e-05,1.3310261504389909e-05,84,84,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.000999000999000999,0.0012447607488929803,0.0,0.0,0.0,0.12987012987012986,1.0,0.00013776067067946784,1.5311493789857283e-05,0.9835005984818634
MSIGDB:M997,REACTOME_ION_CHANNEL_TRANSPORT,MSIGDB,3.974783525852018e-05,8.917710672701258e-05,0.0005073205707325772,2.97089269331407e-06,-5.808205818740767e-05,4.0018977167669855e-05,-2.711419091496717e-07,179,179,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,9.877123793944919e-06,2.2836198314109504e-06,-3.024247296172667,0.07692307692307693,1.0,7.996497192479987e-05,7.178602424680684e-06,1.2832769189919968
