rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
723	S Phase	C0080129	GO	8	6.061969e-07	True	2.592	0.1342	0.339	1.0000	False	POLD1;POLE	1.0000;0.9999		POLD1;POLE	local:n=8;max=1.73;p75=0.00;p50=-0.58;p25=-0.58	global:n=8;max=4.56;p75=0.98;p50=-0.22;p25=-0.22
724	REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING	MSIGDB:M27527	MSIGDB	34	6.046024e-07	True	0.688	0.7744	-3.632	1.0000	False	MAPK1;FGF10;PTPN11;BRAF;FGF16	1.0000;0.9993;0.9987;0.9964;0.9949	MAPK1;FGF10;PTPN11;BRAF;FGF16	MAPK1;FGF10;PTPN11;BRAF;FGF16	local:n=34;max=2.41;p75=-0.41;p50=-0.42;p25=-0.42	global:n=34;max=4.58;p75=-0.20;p50=-0.21;p25=-0.22
725	REACTOME_CHROMOSOME_MAINTENANCE	MSIGDB:M868	MSIGDB	92	6.038068e-07	True	-1.908	1.0000	-1.931	1.0000	False	LIG1;POLD1;POT1;CTC1;ATRX;RTEL1;BLM;RSF1;ACD;RUVBL1	1.0000;1.0000;0.9999;0.9996;0.9996;0.9993;0.9992;0.9990;0.9989;0.9988	LIG1;POLD1;POT1;CTC1;ATRX;RTEL1;BLM;RSF1;ACD;RUVBL1	LIG1;POLD1;POT1;CTC1;ATRX;RTEL1;BLM;RSF1;ACD;RUVBL1	local:n=92;max=2.87;p75=-0.35;p50=-0.35;p25=-0.35	global:n=92;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
726	HALLMARK_P53_PATHWAY	MSIGDB:M5939	MSIGDB	190	6.031656e-07	True	17.325	0.0121	-4.595	1.0000	False	TP53;HRAS;IRAK1;CDKN2A;ERCC5;RAD51C;PIDD1;ADA;AK1;EPS8L2;ELP1;PLXNB2;TCN2;COQ8A;SEC61A1;STEAP3	1.0000;0.9961;0.9959;0.9948;0.9945;0.9945;0.9944;0.9937;0.9937;0.9936;0.9933;0.9933;0.9933;0.9933;0.9933;0.9933	TP53;HRAS;IRAK1;CDKN2A;ERCC5;RAD51C;PIDD1;ADA;AK1;EPS8L2;ELP1;PLXNB2;TCN2;COQ8A;SEC61A1;STEAP3	TP53;HRAS;IRAK1;CDKN2A;ERCC5;RAD51C;PIDD1;ADA;AK1;EPS8L2;ELP1;PLXNB2;TCN2;COQ8A;SEC61A1;STEAP3	local:n=190;max=3.32;p75=-0.30;p50=-0.30;p25=-0.30	global:n=190;max=4.58;p75=-0.22;p50=-0.22;p25=-0.22
727	BIOCARTA_NO1_PATHWAY	MSIGDB:M4383	MSIGDB	27	6.029883e-07	True	0.577	0.8770	-0.571	1.0000	False	AKT1;ACTA1;CAV1;PRKAR1A;PDE2A;RYR2	1.0000;0.9972;0.9969;0.9963;0.9961;0.9955		AKT1;ACTA1;CAV1;PRKAR1A;PDE2A;RYR2	local:n=27;max=1.88;p75=-0.53;p50=-0.54;p25=-0.54	global:n=27;max=4.57;p75=-0.20;p50=-0.22;p25=-0.22
728	BIOCARTA_EIF2_PATHWAY	MSIGDB:M6924	MSIGDB	10	6.023742e-07	True	2.116	0.2256	-0.200	1.0000	False	EIF2AK4;EIF2AK2;EIF2B5	1.0000;0.9999;0.9994		EIF2AK4;EIF2AK2;EIF2B5	local:n=10;max=1.53;p75=0.98;p50=-0.66;p25=-0.66	global:n=10;max=4.56;p75=3.37;p50=-0.22;p25=-0.22
729	WP_VITAMIN_D_RECEPTOR_PATHWAY	MSIGDB:M39718	MSIGDB	176	6.017834e-07	True	-4.138	1.0000	-4.244	1.0000	False	CDKN2A;SLC8A1;KRT16;BMP6;SLC34A2;CYP27B1;CYP24A1;KRT13;HIF1A;PRKCQ;HLA-DRB1	1.0000;0.9998;0.9996;0.9995;0.9993;0.9993;0.9992;0.9991;0.9990;0.9988;0.9987	CDKN2A;SLC8A1;KRT16;BMP6;SLC34A2;CYP27B1;CYP24A1;KRT13;HIF1A;PRKCQ;HLA-DRB1	CDKN2A;SLC8A1;KRT16;BMP6;SLC34A2;CYP27B1;CYP24A1;KRT13;HIF1A;PRKCQ;HLA-DRB1	local:n=176;max=3.88;p75=-0.26;p50=-0.26;p25=-0.26	global:n=176;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
730	REACTOME_GLYCOLYSIS	MSIGDB:M5113	MSIGDB	70	6.003523e-07	True	-0.979	1.0000	-2.210	1.0000	False	PGK1;PKLR;NUP214;ENO3;HK1;PGAM2;PKM;NUP188;NUP205	1.0000;0.9997;0.9995;0.9992;0.9992;0.9992;0.9992;0.9992;0.9992	PGK1;PKLR;NUP214;ENO3;HK1;PGAM2;PKM;NUP188;NUP205	PGK1;PKLR;NUP214;ENO3;HK1;PGAM2;PKM;NUP188;NUP205	local:n=70;max=2.61;p75=-0.38;p50=-0.38;p25=-0.39	global:n=70;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
731	REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	MSIGDB:M1262	MSIGDB	15	5.998147e-07	True	1.135	0.5485	0.259	1.0000	False	FN1;ITGB3;SOS1;RAP1B;VWF	1.0000;0.9999;0.9996;0.9995;0.9994		FN1;ITGB3;SOS1;RAP1B;VWF	local:n=15;max=1.41;p75=1.41;p50=-0.70;p25=-0.71	global:n=15;max=4.56;p75=4.56;p50=-0.21;p25=-0.22
732	WP_BIOMARKERS_FOR_UREA_CYCLE_DISORDERS	MSIGDB:M39842	MSIGDB	12	5.994263e-07	True	2.320	0.1390	0.314	1.0000	False	F7;ASL	1.0000;0.9990	F7;ASL	F7;ASL	local:n=12;max=2.24;p75=-0.45;p50=-0.45;p25=-0.45	global:n=12;max=4.56;p75=-0.22;p50=-0.22;p25=-0.22
